Education,Income,Age,Living_With,Total_Children,Kidhome,Teenhome,Recency,Wines,Fruits,Meats,Fish,Sweets,Golds,NumDealsPurchases,Web,Catalog,Store,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,Complain,Country,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Day,Dayofweek,Month,Year,Is_Parent,Total_Spent,Income_Bucket,Age_Group,TotalCampaignsAcc,is_accepted
Graduate,84835.0,54,Alone,0,0,0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,Spain,0,0,0,1,16,Monday,6,2014,0,1190,Upper,50-60,1,Accepted
Graduate,57091.0,63,Alone,0,0,0,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,Canada,0,0,1,1,15,Sunday,6,2014,0,577,Middle,60-70,2,Accepted
Graduate,67267.0,66,Partner,1,0,1,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,USA,0,0,0,0,13,Tuesday,5,2014,1,251,Middle,60-70,0,Not Accepted
Graduate,32474.0,57,Partner,2,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,Australia,0,0,0,0,11,Sunday,5,2014,1,11,Lower,50-60,0,Not Accepted
Graduate,21474.0,35,Alone,1,1,0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,Spain,0,0,0,1,8,Tuesday,4,2014,1,91,Lower,30-40,2,Accepted
Postgraduate,71691.0,66,Alone,0,0,0,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,Spain,0,0,0,1,17,Monday,3,2014,0,1192,Upper,60-70,1,Accepted
Postgraduate,63564.0,70,Partner,0,0,0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,Germany,0,0,0,1,29,Wednesday,1,2014,0,1215,Middle,60-70,2,Accepted
Graduate,44931.0,57,Partner,1,0,1,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,Spain,0,0,0,0,18,Saturday,1,2014,1,96,Middle,50-60,0,Not Accepted
Postgraduate,65324.0,70,Partner,1,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,USA,0,0,0,0,11,Saturday,1,2014,1,544,Middle,60-70,0,Not Accepted
Postgraduate,65324.0,70,Partner,1,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,India,0,0,0,0,11,Saturday,1,2014,1,544,Middle,60-70,0,Not Accepted
Postgraduate,81044.0,77,Partner,0,0,0,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,USA,0,0,0,0,27,Friday,12,2013,0,1208,Upper,70-80,0,Not Accepted
Postgraduate,62499.0,45,Partner,1,1,0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,Spain,0,0,0,0,9,Monday,12,2013,1,222,Middle,40-50,0,Not Accepted
Postgraduate,67786.0,65,Alone,0,0,0,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,India,0,0,0,1,7,Saturday,12,2013,0,1156,Middle,60-70,1,Accepted
Graduate,26872.0,43,Partner,0,0,0,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,Canada,0,0,0,0,16,Wednesday,10,2013,0,72,Lower,40-50,0,Not Accepted
Graduate,4428.0,55,Partner,1,0,1,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,Spain,0,0,0,0,5,Saturday,10,2013,1,359,Lower,50-60,0,Not Accepted
Graduate,54809.0,47,Partner,2,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,Spain,0,0,0,0,11,Wednesday,9,2013,1,174,Middle,40-50,0,Not Accepted
